id;ticker_valuation;last;mkt_cap;p_e;price_rev;eps_diluted;ev_ebitda;ev;shares;eps_ttm
1;TAL1T;0.982;659.164;15.52;0.69;0.06;8.01;1.16;669.882;0.06
2;TSM1T;2.12;560.19;12.57;4.31;0.11;8.62;695.069;263;0.17
3;LHV1T;14.60;415.43;16.22;4.30;0.89;-19.15;-816.729;28.454;0.92
4;TKM1T;9.20;375.523;12.06;0.52;0.76;7.88;526.185;40.729;0.76
5;TVEAT;13.00;258;;;;;;20;1.39
6;MRK1T;10.15;178.77;10.99;0.55;0.92;10.78;209.22;17.7;0.92
7;HAE1T;4.80;85.152;27.30;0.59;0.09;16.17;88.598;17.74;0.18
8;SFG1T;2.16;78.84;7.71;1.38;0.30;3.61;86.556;36;0.28
9;PKG1T;1.17;66.892;5.69;1.51;0.30;64.55;196.014;56.688;0.21
10;NCN1T;1.19;37.519;10.55;;0.11;;;31.529;0.11
11;EEG1T;0.845;25.164;;0.39;0.00;11.46;39.899;29.779;-0.02
12;PRF1T;0.520;19.972;;0.24;-0.04;12.10;37.199;37.683;-0.03
13;ARC1T;1.32;12.058;35.92;0.96;0.04;21.62;22.381;8.998;0.04
14;LINDA;5.60;8.191;;3.90;-0.03;;;1.575;-0.03
15;BLT1T;0.1360;7.517;;0.10;-0.75;;27.589;54.08;-0.50
16;TPD1T;0.476;2.115;;1275.37;-0.01;;1.992;4.499;-0.01
17;SKN1T;0.414;1.863;;0.13;-0.20;64.50;6.385;4.499;-0.38
